WF_X,WF_Y,StackSensitivity,Wavelength[nm]
-37.5385,-123.5905,0.320586,449.0
-63.8295,-44.5070,0.376654,449.0
28.4795,33.4625,0.381934,449.0
-121.4997,-50.3970,0.293796,449.0
92.0865,16.2375,0.377778,449.0
